product_title,product_image,price,pack_size,price_per_unit
LACURA®Skin Science Renew Night Cream 50ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/Products/Q3/ALN3510_Q3_BEAUTY_PD_388x314_14.jpg,$9.99,,$19.98 per 100ml
LACURA®Skin Science Renew Day Cream 50ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/Products/Q3/ALN3510_Q3_BEAUTY_PD_388x314_13.jpg,$9.99,,$19.98 per 100ml
LACURA®Skin Science Renew Expert Wrinkle Smoother 15ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/2019/ALN2147_Q4_SKIN-CARE_PD_388x314_10.jpg,$10.99,,$73.27 per 100ml
Lacura Essentials Facial Cloth Masks 23ml,,$2.69,,$11.70 per 100ml
LACURA®Essential Cotton Tips 400 Pack,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Beauty/2022/Q1/Products/1000855_ALN-11_PD_Q1_WEB-AUDIT_388x314_25.jpg,$3.49,400pk,87c per 100
LACURA®Essentials Make Up Rounds 80pk,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Q-UPDATES/2021/Q4/PD/ALN3708_Q4-WEB_EXISTING_PD_388x314_19.jpg,$1.39,,$1.74 per 100 rounds
LACURA®Essentials Caring Cleansing Wipes 30pk,https://www.aldi.com.au/fileadmin/fm-dam/images/The_Block/Fuelling_the_Block_2016/ALC7782_THE_BLOCK_PD_388x314_47.jpg,$1.69,,6c per wipe
LACURA®Essentials Fine Balance Cleansing Wipes 30pk,https://www.aldi.com.au/fileadmin/fm-dam/images/The_Block/Fuelling_the_Block_2016/ALC7782_THE_BLOCK_PD_388x314_46.jpg,$1.69,30pk,6c per wipe
LACURA®Essentials Fine Balance Foaming Cleansing Gel 150ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALP0614_WEB_AUDIT_2Q_LACURA_PD_388x314_3.jpg,$3.79,,$2.53 per 100ml
LACURA®Essentials Caring Cleansing Gel 150ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALP0614_WEB_AUDIT_2Q_LACURA_PD_388x314_2.jpg,$3.79,,$2.53 per 100ml
LACURA®Essentials Purify Exfoliating Wash 150ml,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALP0614_WEB_AUDIT_2Q_LACURA_PD_388x314_.jpg,$3.79,,$2.53 per 100ml
LACURA®Anti-perspirant Women’s Aerosol 150g,,$2.99,ea,$1.32 per 100g
LACURA®Purity Anti-perspirant Roll-on Deodorant 75ml,,$2.69,ea,$3.59 per 100ml
Kenny’s Frozen Dessert 475ml,,$6.99,475ml,$1.47 per 100ml
